episode,reward,actions
209,280,Counter({0: 30})
210,280,Counter({0: 30})
211,280,Counter({0: 30})
212,280,Counter({0: 30})
213,280,Counter({0: 30})
214,280,Counter({0: 30})
215,280,Counter({0: 30})
216,280,Counter({0: 30})
217,280,Counter({0: 30})
218,280,Counter({0: 30})
219,280,Counter({0: 30})
220,230,"Counter({0: 30, 6: 2})"
221,280,Counter({0: 30})
222,255,"Counter({0: 30, 6: 1})"
223,257,"Counter({0: 30, 5: 1})"
224,280,Counter({0: 30})
225,234,"Counter({0: 30, 5: 1, 4: 1})"
226,280,Counter({0: 30})
227,280,Counter({0: 30})
228,255,"Counter({0: 30, 6: 1})"
229,280,Counter({0: 30})
230,255,"Counter({0: 30, 6: 1})"
231,280,Counter({0: 30})
232,280,Counter({0: 30})
233,280,Counter({0: 30})
234,280,Counter({0: 30})
235,280,Counter({0: 30})
236,280,Counter({0: 30})
237,280,Counter({0: 30})
238,280,Counter({0: 30})
239,257,"Counter({0: 30, 5: 1})"
240,277,"Counter({0: 30, 2: 1})"
241,280,Counter({0: 30})
242,280,Counter({0: 30})
243,280,Counter({0: 30})
244,280,Counter({0: 30})
245,277,"Counter({0: 30, 2: 1})"
246,280,Counter({0: 30})
247,232,"Counter({0: 30, 6: 1, 5: 1})"
248,257,"Counter({0: 30, 4: 1})"
249,234,"Counter({0: 30, 5: 2})"
250,280,Counter({0: 30})
251,280,Counter({0: 30})
252,280,Counter({0: 30})
253,280,Counter({0: 30})
254,257,"Counter({0: 30, 5: 1})"
255,280,Counter({0: 30})
256,257,"Counter({0: 30, 4: 1})"
257,257,"Counter({0: 30, 5: 1})"
258,280,Counter({0: 30})
259,280,Counter({0: 30})
260,280,Counter({0: 30})
261,275,"Counter({0: 30, 3: 1})"
262,277,"Counter({0: 30, 2: 1})"
263,280,Counter({0: 30})
264,280,Counter({0: 30})
265,232,"Counter({0: 30, 5: 1, 6: 1})"
266,257,"Counter({0: 30, 5: 1})"
267,280,Counter({0: 30})
268,280,Counter({0: 30})
269,280,Counter({0: 30})
270,254,"Counter({0: 30, 2: 1, 5: 1})"
271,280,Counter({0: 30})
272,280,Counter({0: 30})
273,280,Counter({0: 30})
274,280,Counter({0: 30})
275,280,Counter({0: 30})
276,280,Counter({0: 30})
277,234,"Counter({0: 30, 4: 2})"
278,277,"Counter({0: 30, 1: 1})"
279,280,Counter({0: 30})
280,209,"Counter({0: 30, 4: 1, 6: 1, 5: 1})"
281,280,Counter({0: 30})
282,280,Counter({0: 30})
283,280,Counter({0: 30})
284,209,"Counter({0: 30, 4: 1, 6: 1, 5: 1})"
285,252,"Counter({0: 30, 5: 1, 3: 1})"
286,280,Counter({0: 30})
287,280,Counter({0: 30})
288,280,Counter({0: 30})
